method,z_relative_mm,pearson_r_to_target,normalized_rmse_to_target,azimuthal_principal_ring_cv,dark_core_to_ring_mean,centroid_x_um,centroid_y_um
Physical fit + Miao corrected,-13.0,0.9859121342713983,0.031018059181828234,0.0519592091832101,0.0019269066409135097,1.2702255655634016,-0.23893290719413754
Physical fit + Miao corrected,-12.0,0.9752874258202242,0.026078160804173734,0.06834632991729284,0.0036670130876379674,-0.5500476146688745,-0.7970202917832623
Physical fit + Miao corrected,-11.0,0.9840606190892414,0.02038313346506879,0.11570505939775792,0.004524608359708871,-1.2937830590496076,-0.5767990553597451
Physical fit + Miao corrected,-10.0,0.9888792881453493,0.016966355720937725,0.14842110273439255,0.0033323537410586083,1.809804645891465,-0.020622605717698243
Physical fit + Miao corrected,-9.0,0.9880781870873833,0.020775759335132402,0.14060366495262544,0.003494266207742612,3.454549535014387,0.4322320096575574
Physical fit + Miao corrected,-8.0,0.9678658341319791,0.03071880250170268,0.2024047751831754,0.0059243682495873085,1.5855531488415868,0.7515552514536707
Physical fit + Miao corrected,-7.0,0.9000965691356411,0.0548634252201773,0.2952756797413029,0.010972958805416638,-3.4073705907238465,0.6312275779067071
Physical fit + Miao corrected,-6.0,0.8571788801031476,0.07070981813743851,0.37687755004211754,0.0122952705097421,-3.8775016577161487,1.600816328740517
Physical fit + Miao corrected,-5.0,0.9011291229992513,0.04778218913861445,0.3511688014395424,0.008923521566433838,2.1114737496307936,1.930453092606629
Physical fit + Miao corrected,-4.0,0.8881427958882645,0.04872740479426799,0.34510792750424424,0.01033059982075755,5.3263584896926,1.814716360507742
Physical fit + Miao corrected,-3.0,0.7864544583826135,0.07655170750769381,0.3843766947819294,0.023409907202331517,3.9445645224505084,1.6310471782319362
Physical fit + Miao corrected,-2.0,0.5737412597900762,0.08932638808747734,0.3967755621661813,0.03371816549483397,-2.6933804921059155,2.6154691018907505
Physical fit + Miao corrected,-1.0,0.49845208794199974,0.0953800790806616,0.48149185848898735,0.037779046297661927,-0.5916815966532689,4.20437316540388
Physical fit + Miao corrected,0.0,0.41228207411370754,0.08881166702439144,0.36974909761844915,0.027052585897961355,1.6519508005206474,3.4270367935080364
Complete digital-twin correction prediction,-17.0,0.9910670640900134,0.017835020056080095,0.04009737669049212,0.000544775080133551,-0.656846367096922,-0.08745236908623107
Complete digital-twin correction prediction,-16.0,0.9848711638377646,0.0380734202654102,0.02607800107965564,0.000385033350620146,-1.8293775374608947,-0.1836178396769668
Complete digital-twin correction prediction,-15.0,0.9955375963784103,0.017707926414507216,0.04321600166771588,0.00045656518989772675,-0.5684877157302515,-0.056092290153279926
