label,sweep_parameter,sweep_value,compensated,h_channel_overlap_to_required,v_channel_overlap_to_required,pre_axicon_overlap_to_required,pre_axicon_stokes_rms,pre_axicon_alpha_rms,pre_axicon_power_ratio,phase_rms_error_rad_h,first_order_efficiency,zero_order_leakage_after_iris,rejected_power_fraction,reference_z_mm,z60_full_field_correlation,z60_central_crop_correlation,xz_map_correlation_to_v0,angular_profile_correlation_to_v0,c60,c120,c120_minus_c60,dark_core_ratio,ring_island_count,strict_class,best_plane_correlation,best_plane_z_mm,passes,failure_mode,correction
qwp_angle_error_deg_1.0,qwp_angle_error_deg,1.0,False,0.9494866677713865,0.9494859222988109,0.9489077716231546,0.5238536514811158,0.5646200630903088,0.9497280655422171,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930577320406498,0.9930577509917603,0.9977908298307077,0.9987873836976549,0.8607958442351569,0.8319297799112315,-0.028866064323925356,0.0015211385708257458,0,visual_hexagonal_field,0.9955123526867241,72.575,True,none,
qwp_angle_error_deg_2.0,qwp_angle_error_deg,2.0,False,0.9494866677713865,0.9494859222988109,0.9471743837442396,0.5283351771837742,0.5650967136788422,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930577655816724,0.9930577845327846,0.9977908279926647,0.9987873454243614,0.8607967176306158,0.8319308573131183,-0.028865860317497494,0.0015499607184114163,0,visual_hexagonal_field,0.9955123559908449,72.575,True,none,
qwp_retardance_error_deg_-5.0,qwp_retardance_error_deg,-5.0,False,0.9494866677713865,0.9494859222988109,0.947679753736929,0.5254713430984475,0.5645093331705059,0.9497280655422173,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576988778246,0.9930577178289337,0.9977908320420802,0.9987874273696178,0.8607948704726822,0.831928567354361,-0.028866303118321168,0.0014901693295706947,0,visual_hexagonal_field,0.9955123740920618,72.575,True,none,
qwp_retardance_error_deg_-2.0,qwp_retardance_error_deg,-2.0,False,0.9494866677713865,0.9494859222988109,0.9491970941964225,0.5228456562678147,0.5644664968722085,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576986821312,0.9930577176332401,0.9977908319333089,0.9987874240531751,0.8607949338520668,0.831928652052244,-0.028866281799822868,0.0014914779527996185,0,visual_hexagonal_field,0.9955123592061483,72.575,True,none,
qwp_retardance_error_deg_-1.0,qwp_retardance_error_deg,-1.0,False,0.9494866677713865,0.9494859222988109,0.949413989264971,0.5224692511156466,0.5644604252644901,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985352079,0.9930577174863169,0.9977908318309947,0.9987874231563911,0.8607949447504127,0.8319286712025664,-0.02886627354784632,0.0014916567237827656,0,visual_hexagonal_field,0.995512354112736,72.575,True,none,
qwp_retardance_error_deg_0.0,qwp_retardance_error_deg,0.0,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
qwp_retardance_error_deg_1.0,qwp_retardance_error_deg,1.0,False,0.9494866677713865,0.9494859222988109,0.9494139893672204,0.5224692493922861,0.5644604239889426,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985318758,0.9930577174829851,0.997790831580586,0.998787421127157,0.8607949531648811,0.8319286919897186,-0.028866261175162444,0.001491627696421566,0,visual_hexagonal_field,0.9955123439295718,72.575,True,none,
qwp_retardance_error_deg_2.0,qwp_retardance_error_deg,2.0,False,0.9494866677713865,0.9494859222988109,0.9491970944008897,0.5228456528240997,0.5644664943964607,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576981851669,0.9930577171362761,0.9977908315386897,0.9987874200792779,0.8607949499713651,0.8319286941931506,-0.028866255778214445,0.001491420006218934,0,visual_hexagonal_field,0.9955123390740792,72.575,True,none,
qwp_retardance_error_deg_5.0,qwp_retardance_error_deg,5.0,False,0.9494866677713865,0.9494859222988109,0.9476797542475529,0.5254713345413098,0.5645093268946602,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576979435459,0.9930577168946556,0.9977908316094659,0.9987874156846197,0.8607949112817109,0.8319286707205056,-0.028866240561205347,0.00149002514814974,0,visual_hexagonal_field,0.9955123235261342,72.575,True,none,
iris_radius_frac_0.24,iris_radius_frac,0.24,False,0.9135239843524282,0.9135228888681645,0.9135234365157857,0.6715679766323067,0.6013826376680609,0.9137528847204751,0.0,0.913531434604106,0.0,0.08646856539589398,60.0,0.9843685618547207,0.9843686016170659,0.9939593343933638,0.9882870416330224,0.8548137669020683,0.8302984434446447,-0.024515323457423688,0.0016835945103510822,0,visual_hexagonal_field,0.9890951598304796,72.575,True,none,
iris_radius_frac_0.32,iris_radius_frac,0.32,False,0.936316847556449,0.9363159631929665,0.936316405314882,0.5828981455993508,0.5832158380689862,0.9365548322791621,0.0,0.9363278560582798,0.0,0.06367214394172016,60.0,0.9898445866405317,0.9898446104293022,0.9959615409125282,0.997948334573506,0.8577508186414884,0.8298769144621456,-0.027873904179342768,0.00105998313096309,0,visual_hexagonal_field,0.9923241377752547,72.575,True,none,
iris_radius_frac_0.4,iris_radius_frac,0.4,False,0.9494866677713865,0.9494859222988109,0.9494862949969127,0.5223437091326746,0.5644584016670706,0.9497280655422174,0.0,0.9494978967579102,0.0,0.05050210324208981,60.0,0.9930576985938014,0.9930577175449107,0.9977908316676191,0.9987874219982806,0.860794952698077,0.8319286853993294,-0.02886626729874764,0.0014917067224054794,0,visual_hexagonal_field,0.9955123490161348,72.575,True,none,
